user_id,movie_id,rating,genre_preference_user,keywords_movie
1,1,4,"['Action', 'Sci-Fi']","['space', 'adventure', 'aliens']"
1,5,5,"['Action', 'Sci-Fi']","['robots', 'future', 'war']"
1,12,2,"['Action', 'Sci-Fi']","['romance', 'drama', 'love triangle']"
2,3,5,"['Comedy', 'Romance']","['funny', 'relationships', 'meet cute']"
2,7,4,"['Comedy', 'Romance']","['wedding', 'friends', 'mishaps']"
2,15,1,"['Comedy', 'Romance']","['horror', 'monster', 'scary']"
3,9,4,"['Drama', 'Thriller']","['suspense', 'mystery', 'crime']"
3,18,5,"['Drama', 'Thriller']","['courtroom', 'law', 'justice']"
3,25,2,"['Drama', 'Thriller']","['animation', 'kids', 'adventure']"
4,2,3,"['Sci-Fi', 'Adventure']","['planet', 'exploration', 'discovery']"
4,10,4,"['Sci-Fi', 'Adventure']","['time travel', 'paradox', 'future']"
4,20,1,"['Sci-Fi', 'Adventure']","['musical', 'singing', 'dancing']"
5,6,5,"['Horror', 'Mystery']","['ghost', 'haunted', 'supernatural']"
5,14,4,"['Horror', 'Mystery']","['serial killer', 'investigation', 'psychological']"
5,28,2,"['Horror', 'Mystery']","['western', 'cowboy', 'guns']"
6,4,4,"['Animation', 'Family']","['talking animals', 'friendship', 'lesson']"
6,11,5,"['Animation', 'Family']","['princess', 'magic', 'quest']"
6,22,1,"['Animation', 'Family']","['war', 'history', 'battle']"
7,8,3,"['Thriller', 'Action']","['espionage', 'secret agent', 'chase']"
7,17,4,"['Thriller', 'Action']","['hostage', 'rescue', 'explosion']"
7,29,2,"['Thriller', 'Action']","['documentary', 'nature', 'animals']"
8,13,5,"['Romance', 'Drama']","['love story', 'tragedy', 'sacrifice']"
8,21,4,"['Romance', 'Drama']","['long distance', 'letter', 'reunion']"
8,26,1,"['Romance', 'Drama']","['superhero', 'powers', 'fight']"
9,16,4,"['Mystery', 'Crime']","['detective', 'solving', 'clues']"
9,24,5,"['Mystery', 'Crime']","['bank robbery', 'heist', 'planning']"
9,30,3,"['Mystery', 'Crime']","['musical', 'dance', 'stage']"
10,19,3,"['Western', 'Action']","['cowboy', 'saloon', 'shootout']"
10,27,4,"['Western', 'Action']","['gold rush', 'outlaw', 'frontier']"
10,23,1,"['Western', 'Action']","['comedy', 'slapstick', 'silly']"
11,1,5,"['Sci-Fi', 'Adventure']","['space', 'adventure', 'aliens']"
11,10,4,"['Sci-Fi', 'Adventure']","['time travel', 'paradox', 'future']"
11,15,2,"['Sci-Fi', 'Adventure']","['horror', 'monster', 'scary']"
12,3,4,"['Romance', 'Comedy']","['funny', 'relationships', 'meet cute']"
12,13,5,"['Romance', 'Comedy']","['love story', 'tragedy', 'sacrifice']"
12,18,1,"['Romance', 'Comedy']","['courtroom', 'law', 'justice']"
13,9,5,"['Thriller', 'Mystery']","['suspense', 'mystery', 'crime']"
13,16,4,"['Thriller', 'Mystery']","['detective', 'solving', 'clues']"
13,4,2,"['Thriller', 'Mystery']","['talking animals', 'friendship', 'lesson']"
14,2,4,"['Adventure', 'Action']","['planet', 'exploration', 'discovery']"
14,8,5,"['Adventure', 'Action']","['espionage', 'secret agent', 'chase']"
14,11,1,"['Adventure', 'Action']","['princess', 'magic', 'quest']"
15,6,3,"['Horror', 'Thriller']","['ghost', 'haunted', 'supernatural']"
15,17,4,"['Horror', 'Thriller']","['hostage', 'rescue', 'explosion']"
15,21,2,"['Horror', 'Thriller']","['long distance', 'letter', 'reunion']"
16,4,5,"['Family', 'Animation']","['talking animals', 'friendship', 'lesson']"
16,25,4,"['Family', 'Animation']","['animation', 'kids', 'adventure']"
16,19,1,"['Family', 'Animation']","['cowboy', 'saloon', 'shootout']"
17,8,4,"['Action', 'Crime']","['espionage', 'secret agent', 'chase']"
17,24,5,"['Action', 'Crime']","['bank robbery', 'heist', 'planning']"
17,7,2,"['Action', 'Crime']",\
